Task Size,Server Type,Average Makespan,Average Cost,Average Utilization
100,Cloud,41.307212612072135,33.43333333333334,0.2
100,Edge,29.232077792220768,12.51,0.2
200,Cloud,64.9760123987601,66.76666666666667,0.2
200,Edge,86.89014531880146,33.343333333333334,0.2
300,Cloud,94.24583541645833,75.1,0.2
300,Edge,100.68193280671932,37.51,0.2
400,Cloud,127.9782121787821,100.1,0.2
400,Edge,125.10182415091823,50.01,0.2
500,Cloud,167.5303402993034,125.1,0.2
500,Edge,152.22936139719363,62.51,0.2
600,Cloud,246.92831716828314,150.1,0.2
600,Edge,228.56714428557152,100.01,0.2
700,Cloud,221.82966036729653,175.1,0.2
700,Edge,256.9904686198048,87.51,0.2
800,Cloud,242.98037862880378,200.1,0.2
800,Edge,280.2993044028931,100.01,0.2
900,Cloud,352.99671032896714,450.1,0.2
900,Edge,353.3004209579043,150.01,0.2
1000,Cloud,323.43016698330166,333.43333333333334,0.2
1000,Edge,435.2256451021565,125.01,0.2
